text,label,label_name
religious ppl pray! what do they say? hello!\nif u pray God perhaps u use some sentences or phrases to pray him!\ncan u tell me what do u say to God.\nThanx\n&\nPeace,0,Society & Culture
"Please honestly share - What was the craziest thing you ever did during your entire life? Okay - it's only fair that I share my experience first.  As a child vacationing in downtown Pittsburg PA with my family, we were in the audience of a television game show.  We were asked to write down ""the craziest thing we could think of doing"" and submit it at one point early in the program.  I remembered seeing a large landscaped water fountain in a courtyard outside the studio.  My answer was to ""go skinny-dipping in that fountain.""  Was I ever shocked and so totally embarrassed when they called out my name later in the program?  Oh, yes!  Someone had to literally take me by the arm and drag me up on the stage and into the camera's view, but it was worth the silver dollar I won.  BTW - I never did go skinny-dipping in that fountain.  LOL",0,Society & Culture
Combs of HANNITY AND COMBS is graduate of Hofstra University on Long Island.  Name 3 other celebrities from HU ,0,Society & Culture
"Any Polish people here? can u translate this sentence into En please? what does it mean in English? ""A mam sie ja Cudownie""\nthanks:)",0,Society & Culture
"Should women work in construction, e.g. masonry, carpentry? Hard labor for better pay  I am questioning the likely hood of women starting and maintainig a carreer in construction. Know anyone who has tried",0,Society & Culture
Do you believe George Bush is a Christian?  He says that he is.? ,0,Society & Culture
unique ways to give money as a gift for Christmas? I have done the money tree already and need some fresh ideas. I hate to just hand money to the people i am giving money to.   Thanks for your help,0,Society & Culture
What should you do if a co-worker does a loud belch in your face? ,0,Society & Culture
"Men are not perfect, what are the shortcomings of Martin Luther King Jr as an individual and activist? ",0,Society & Culture
"Does susquatch really exist ? This is a fasinating subject for , I may go in search of - over the summer !",0,Society & Culture
Do people have the right to see the beloved Flying Spaghetti Monster as garbage? People don't just invent religion do they? There must be a certain truth in religion before they can come about.,0,Society & Culture
"who all wants a closer realationship with God? i do, how do  i get closer?",0,Society & Culture
Why do people take advantage of the elderly population? ,0,Society & Culture
"Does anyone know the origin of those beautiful green eyes...? ...of the people in the regions of Pakistan, Afghanistan, Iran,etc.?",0,Society & Culture
Was Judas a traitor or the most devoted apprentice? Just asking...,0,Society & Culture
