text,label,label_name,clean_text
QuESTION FOR WOMEN??? i have two questions and answer them seriously. Do women like to shave?? u know,2,Health,question women two questions answer seriously women like shave know
"there is this ahole who constantly like to make insults like I saw you where that shirt yesterday, or didn't y ou get it for free, and worst of all when it's in front of girls. i know i can just give him a good betting but can someone give me some really good insults, to a thin, quite ship, glasses wearing (but so do i so unlikely will work), ashole jewish kid (so am I, probably won't work for same reason above in parenthesis) , and makes that face as if he is a good kid the one you just wan't to punch.\nSo help me solve this ahole kid with some good combacs/insults",6,Business & Finance,ahole constantly like make insults like saw shirt yesterday didnt get free worst front girls know give good betting someone give really good insults thin quite ship glasses wearing unlikely work ashole jewish kid probably wont work reason parenthesis makes face good kid one want punchnso help solve ahole kid good combacsinsults
"Permutations (please solve) I'm sooo lost? The price of a European tour includes 5 stop-overs to be selected from 10 citites. Find the number of ways you can plan your tour when order matters.\n\nPlease include steps & details, thanks!",1,Science & Mathematics,permutations please solve sooo lost price european tour includes stopovers selected citites find number ways plan tour order mattersnnplease include steps details thanks
whats your ultimate fantasy ? ,8,Family & Relationships,whats ultimate fantasy
"My two kids aged 3 and 5 always have nose bleeding? After waking up in the morning , blood all over their face ",2,Health,two kids aged always nose bleeding waking morning blood face
"question for Christians? What is the purpose of eternal damnation? I can understand the concept that a person needs to be punished for his sins or that he can be so evil that he dose not merit reward. But why torture a individual for any reason for all eternity? It doesn’t teach anything, it doesn’t improve the person in any way to me it simply sounds sadistic. And I cannot understand how a Creator can be that sadistic to torture someone for all eternity.",0,Society & Culture,question christians purpose eternal damnation understand concept person needs punished sins evil dose merit reward torture individual reason eternity doesnt teach anything doesnt improve person way simply sounds sadistic understand creator sadistic torture someone eternity
are motolov cocktails illegal? ,1,Science & Mathematics,motolov cocktails illegal
"Home remedy for vaginal infection? I know I don't have a yeast infection, but I do still have a smelly discharge. I can't really afford to go to the doctor, so does anyone have any ideas? douche perhaps?",2,Health,home remedy vaginal infection know dont yeast infection still smelly discharge cant really afford doctor anyone ideas douche perhaps
"Hey Know it alls out there WARLOK is a valid name, its not more satanic than witch and it does have? more power to it than some male whose scared of the term. Now  what?\n\nOh by the way I hate Satan, probably more then most ""christians"" who are just a religous cover up for rascisnt snobs  as far as I am concernced, but  I like Witchcraft, the craft., not particularly wicca which with your three fold laws and other internet goodies is a washed down version of the real thing, kind of like american cuisine.",0,Society & Culture,hey know alls warlok valid name satanic witch power male whose scared term whatnnoh way hate satan probably christians religous cover rascisnt snobs far concernced like witchcraft craft particularly wicca three fold laws internet goodies washed version real thing kind like american cuisine
Why follow orders when it's this simple universe matrix construct program? Why follow orders when it's this simple universe matrix construct program?\n\nrun this with a.i quantum universe construct program zetalimit this universe only makes up .000000000000000000000000001% of the knowledge out there here is th rest http://www.beyond-science.net,9,Politics & Government,follow orders simple universe matrix construct program follow orders simple universe matrix construct programnnrun quantum universe construct program zetalimit universe makes knowledge rest
